ID_juge;Product;Hedo_cat;Text;Sentiment;Valency_ML;Liking
72;C;I like moderately;it seems resistant;0,577350269;0,092;8
72;D;I like moderately;it is soft but looks fragile;0;-0,068;6
72;E;I like very much;it is very soft;0,5;-0,054;10
72;F;I don't like;too thin;0;-0,998;3
72;G;I like very much;it is soft;0,577350269;-0,054;10
72;H;I don't like;it seems to deteriorate more than the others;0;-0,656;4
72;I;I like moderately;it seems strong and easy to clean;0,755928946;-0,008;7
72;J;I don't like;too synthetic for my taste;-0,447213595;-1;1
73;A;I like moderately;basic;-1;-0,176;5
73;B;I don't like;too hard;-0,707106781;-0,988;3
73;C;I like moderately;too basic;-0,707106781;-0,176;5
73;D;I don't like;too carpet;-0,707106781;-0,956;2
73;E;I like very much;pleasant to the touch;0,5;0,142;9
73;F;I like moderately;too smooth;0,707106781;-0,36;6
73;G;I like very much;nice;1;0,02;8
73;H;I don't like;too catchy;0;-0,998;2
73;I;I like moderately;simple;-1;-0,63;5
73;J;I don't like;too catchy;0;-0,998;1
74;A;I like moderately;simple;-1;-0,604;5
74;B;I like very much;pretty weave soft;1,154700538;0,176;8
74;C;I like moderately;pleasant;1;0,014;6
74;D;I don't like;toomuch foam;-1,272792206;-0,992;2
74;E;I like moderately;soft but dirty;0,577350269;-0,004;5
74;F;I like moderately;nothing special;0;-0,414;4
74;G;I like very much;soft checker pretty;1,154700538;0,204;8
74;H;I don't like;rough;-1;-1;3
74;I;I like moderately;soft and pretty fabric;1;0,022;6
74;J;I like moderately;classy leather style;0,577350269;0,224;7
75;A;I don't like;it is too thin and the pattern is not pretty;0,316227766;-0,91;2
75;B;I don't like;it is too thick and the pattern is not pretty;0,632455532;-0,876;0
75;C;I don't like;the crossings of the yarns that make up the pattern are too thick;0,277350098;-0,948;3
75;D;I don't like;i don t like the felt look;0;-0,762;0
75;E;I like very much;i love the darkness of the fabric  the pattern is invisible and the fabric is soft and silky;0,471404521;0,494;10
75;F;I don't like;the fabric is too thin and gives the elastic aspect;-0,316227766;-0,696;3
75;G;I don't like;the fabric is too thick and the pattern is not beautiful at all;0,554700196;-0,738;0
75;H;I like moderately;the material is soft but the pattern is not pretty;0,632455532;0,03;6
75;I;I don't like;the pattern looks like an elastic band ;-0,377964473;-0,53;0
75;J;I like moderately;the pattern is pretty and the fabric soft;0,707106781;0,032;7
76;A;I don't like;i don t like this fabric because it s rough  evenif the aesthetic is fine;0,580689303;-0,96;3
76;B;I like moderately;i like this fabric and find it quite original  but it may seem difficult to maintain;0;0,002;6
76;C;I like very much;i like the quality  the aesthetics and the feel of the fabric very much;0,267261242;0,414;9
76;D;I don't like;i don t like this fabric because in addition of being rough  it doesn t seem suitable because difficult to maintain;-0,43643578;-0,92;2
76;E;I like moderately;i like the aesthetic and the feel of this fabric  but it may catch a lot dust;0;0,278;7
76;F;I like moderately;i like this fabric in general;0;-0,146;7
76;G;I don't like;i don t like this fabric very much because it is not very aesthetic;0,267261242;-0,852;3
76;H;I like very much;i really like this fabric even though it seems a little fragile to me;-0,267261242;0,682;9
76;I;I don't like;i like this fabric a little evenif i don t find anything extraordinary about it;0;-0,694;5
76;J;I like moderately;i like this fabric but it may not be master key enough;0;-0,15;7
77;A;I like very much;beautiful fabric  seems resistant ;1;0,362;7
77;B;I don't like;coarse fabric  does not give an impression of quality in a passenger compartment;0;-0,688;2
77;C;I like moderately;nice good quality but maybe a little coarse;0,919238816;0,096;5
77;D;I don't like;nice fabric but would quickly be damaged in a car  would wear out too quickly with friction for example;0;-0,414;3
77;E;I don't like;the touch of the velvet makes traces on the fabric  it would not be pretty on the whole interior;0,458831468;-0,588;4
77;F;I like moderately;pretty but too thin  i would be afraid it would tear or wear out quickly ;0,25819889;-0,516;5
77;G;I don't like;coarse fabric  easy to tear  would quickly be damaged ;-0,333333333;-0,782;1
77;H;I don't like;seems too thin to me  so too fragile  i d be afraid he d tear himself apart  ;-0,242535625;-0,726;4
77;I;I like very much;seems to me to be the most resistant for the passenger compartment  should last over time and resist friction  children  etc ;0,21821789;0,608;9
77;J;I like moderately;nice sample but i prefer fabric in a car  not toomuch leather;0,288675135;-0,034;6
78;A;I don't like;too thin not soft;0,5;-0,124;1
78;B;I like moderately;resistant but not very premium  a little basic;0,353553391;0,096;5
78;C;I like moderately;refined  very smooth but a little thin;0,755928946;-0,06;6
78;D;I like very much;cosy comfortable and soft;1,5;0,522;7
78;E;I like very much;comfortable soft et above all very premium;1,133893419;0,476;9
78;F;I like moderately;doesn t looks like fabric  is very synthetic but sober;0;-0,204;6
78;G;I don't like;poor quality too soft is easily damaged;0,377964473;-0,318;2
78;H;I like moderately;too basic but sober simple;-0,447213595;-0,052;5
78;I;I don't like;not comfortable too hard but resistant;0,40824829;-0,012;4
78;J;I don't like;looks like fake leather doubtful quality but may be pretty;0,316227766;-0,43;4
81;A;I like moderately;i like it a little evenif it is too simple;-0,395284708;0,002;4
81;B;I like moderately;because it is just well woven;0;0,054;5
81;C;I like very much;because it is really very chic;0,40824829;0,924;9
81;D;I like moderately;evenif it s a little oldfashioned;0;-0,026;3
81;E;I like very much;because it is really very elegant;0,40824829;0,986;9
81;F;I like moderately;because it is well enough woven;0;-0,02;5
81;G;I don't like;it is too soft;0,5;-0,03;2
81;H;I like very much;because it is really very modern;0;0,932;8
81;I;I don't like;it is too scratched;0;-1;3
81;J;I don't like;it is too kitsch;0;-1;3
82;A;I like moderately;sober and smooth but not original not for a car;0,948683298;-0,018;4
82;B;I like moderately;not bad but too thick;-0,447213595;-0,278;3
82;C;I like very much;would fit well in a car evenif not smooth enough;0,964494686;0,342;6
82;D;I don't like;too fluffy not smooth enough;0,357770876;-0,508;0
82;E;I don't like;pretty but not suitable for a car interior  will take toomuch dust;-0,230940108;-0,664;0
82;F;I like moderately;smooth but a little too fluffy;0;-0,026;5
82;G;I don't like;doesn t match a car passenger compartment  seems toomuch like a fabric for seat or clothing;0;-0,604;2
82;H;I like very much;pretty appearance quite smooth linen style can be very elegant;0,948683298;0,69;8
82;I;I don't like;looks cheap doesn t fit with a passenger compartment;-0,333333333;-0,844;0
82;J;I like very much;ideal fits very well with a car interior;0,353553391;0,558;10
84;A;I like moderately;i like a little because the fabric looks qualitative but thin;0,301511345;0;4
84;B;I don't like;i don t like because you can see the linesof the fabric;0;-0,96;2
84;C;I like very much;i really like the quality of the fabric;0,353553391;0,862;8
84;D;I don't like;i don t like because the fabric loses its hair;0;-0,998;1
84;E;I don't like;i don t like the velvet material;0,377964473;-0,986;2
84;F;I like very much;i really like the quality of the fabric;0,353553391;0,862;8
84;G;I don't like;i don t like because it doesn t looks qualitative at all;0,288675135;-0,78;1
84;H;I don't like;i don t like the quality of the fabric;0,333333333;-0,924;1
84;I;I don't like;i don t like the overly synthetic side of this fabric;-0,301511345;-0,95;1
84;J;I like moderately;i like the leather effect a little but it is not imitated well enough;0;0,04;4
85;A;I like very much;i like very much because simple and efficient and qualitative aspect;0;0,538;8
85;B;I like moderately;i like a little although it looks toomuch like clothing cotton;-0,54272042;-0,038;4
85;C;I like very much;i like very much the same as a but a little less resistant in appearance ;0,051639778;0,53;7
85;D;I don't like;too synthetic;-0,707106781;-0,998;0
85;E;I like moderately;i like to the touch although it is not suitable for the inside of a car;0;-0,052;4
85;F;I like very much;i like it but the look is more synthetic and less qualitative ;0,288675135;0,442;6
85;G;I don't like;it is not resistant enough;0,804984472;-0,28;0
85;H;I like moderately;i like it no matter what he doesn t make a quality impression  ;0,554700196;-0,014;3
85;I;I don't like;it has a too plastic effect;-0,40824829;-0,908;1
85;J;I like moderately;i like a little because resistant but not very aesthetic;0,632455532;0,156;3
